,City,Country,Latitude,Longitude,Temperature,Wind Speed,Humidity,Cloudiness
0,kenora,ca,49.76,-94.48,2.0,2.6,69.0,75.0
1,kasama,zm,-10.21,31.19,18.77,5.57,46.0,0.0
2,madimba,tz,-10.4,40.33,25.42,8.52,98.0,0.0
4,hambantota,lk,6.12,81.12,25.67,2.97,100.0,88.0
5,oneonta,us,42.45,-75.06,6.05,1.77,100.0,92.0
6,puerto ayora,ec,-0.74,-90.35,25.0,10.3,69.0,0.0
7,biltine,td,14.53,20.93,22.57,4.12,55.0,0.0
8,moyo,ug,3.66,31.72,26.42,3.87,53.0,92.0
9,soe,id,-9.86,124.28,17.07,0.67,94.0,0.0
10,riberalta,bo,-11.0,-66.08,29.0,2.6,74.0,75.0
11,jadu,ly,31.95,12.03,15.35,7.02,79.0,92.0
12,aksarka,ru,66.56,67.8,-5.76,5.07,81.0,0.0
13,batsfjord,no,70.63,29.72,3.0,1.5,86.0,0.0
14,itarema,br,-2.92,-39.92,28.77,8.07,64.0,0.0
15,carman,ca,49.51,-98.0,8.0,2.6,100.0,0.0
16,sohag,eg,26.55,31.7,20.55,1.17,53.0,0.0
17,abnub,eg,27.27,31.15,26.0,3.6,44.0,0.0
18,mandera,ke,3.94,41.87,25.92,3.27,66.0,48.0
20,port blair,in,11.67,92.75,28.02,0.82,100.0,56.0
21,camara de lobos,pt,32.63,-16.97,21.0,3.6,83.0,40.0
22,cochabamba,bo,-17.39,-66.16,20.0,5.1,56.0,75.0
23,kahuta,pk,33.59,73.39,17.0,2.1,63.0,0.0
24,miramar,mx,20.64,-103.45,22.0,3.6,60.0,90.0
25,kostomuksha,ru,64.59,30.6,-0.21,1.37,99.0,80.0
26,smoky lake,ca,54.11,-112.47,11.2,4.27,43.0,0.0
27,monrovia,lr,6.33,-10.8,25.0,2.47,94.0,75.0
28,port hedland,au,-20.31,118.58,24.0,5.1,57.0,48.0
29,port-cartier,ca,50.03,-66.88,2.0,3.1,59.0,75.0
30,meulaboh,id,4.14,96.13,25.75,1.87,100.0,56.0
31,kilrush,ie,51.96,-8.06,9.0,9.8,87.0,75.0
32,winnemucca,us,40.97,-117.74,22.0,7.2,15.0,1.0
34,moron,mn,47.38,110.32,-7.43,1.32,65.0,20.0
35,billings,us,45.79,-108.5,14.0,2.07,41.0,75.0
36,pangai,to,-19.8,-174.35,25.0,7.2,83.0,75.0
37,bendorf,de,50.42,7.57,13.0,5.1,81.0,92.0
39,waterloo,sl,8.34,-13.07,27.8,2.27,93.0,20.0
40,san buenaventura,mx,27.06,-101.55,15.0,1.72,77.0,90.0
41,santa marta,co,11.24,-74.21,26.0,4.1,94.0,75.0
42,buta,cd,2.79,24.73,23.15,0.97,93.0,12.0
43,dromolaxia,cy,34.88,33.59,24.0,2.6,94.0,68.0
44,port macquarie,au,-31.43,152.91,19.0,5.1,82.0,12.0
45,sochaczew,pl,52.23,20.24,9.0,5.7,87.0,75.0
46,tongren,cn,27.72,109.18,13.32,1.17,99.0,92.0
47,sfantu gheorghe,ro,44.65,26.83,12.0,6.2,71.0,0.0
48,richards bay,za,-28.77,32.06,18.82,5.27,70.0,0.0
49,bowen,au,-20.01,148.25,23.0,2.6,88.0,40.0
50,gasa,bt,27.91,89.73,-17.43,1.02,57.0,0.0
51,wamba,cd,2.14,27.99,20.55,0.77,95.0,76.0
52,kattivakkam,in,13.22,80.32,25.0,1.42,88.0,20.0
55,hammerfest,no,70.66,23.68,4.0,2.1,100.0,40.0
56,jinchang,cn,38.52,102.19,-2.86,2.22,68.0,8.0
59,new norfolk,au,-42.78,147.06,9.0,4.6,57.0,20.0
60,bonfim,br,-20.33,-44.24,27.0,3.6,42.0,0.0
61,sondrio,it,46.17,9.88,12.0,1.0,76.0,0.0
62,valley city,us,46.92,-98.0,9.0,2.1,45.0,1.0
63,fredericksburg,us,38.3,-77.46,21.0,2.6,43.0,1.0
64,joshimath,in,30.57,79.57,-14.66,0.62,88.0,0.0
65,ahuimanu,us,21.44,-157.84,29.0,5.1,78.0,75.0
66,oistins,bb,13.07,-59.53,26.0,8.2,88.0,75.0
67,villaviciosa,es,43.48,-5.43,14.0,3.6,87.0,75.0
69,constitucion,cl,-35.33,-72.42,13.1,3.77,89.0,92.0
70,ailigandi,pa,9.23,-78.02,26.7,1.77,87.0,68.0
71,galveston,us,40.58,-86.19,13.0,4.6,50.0,20.0
72,lorengau,pg,-2.02,147.27,27.3,5.22,100.0,64.0
73,westerland,de,54.91,8.3,11.0,11.8,76.0,48.0
74,southbridge,nz,-43.81,172.25,14.0,3.1,87.0,0.0
75,san fernando,mx,24.85,-98.15,18.27,5.02,96.0,88.0
76,skelleftea,se,64.75,20.95,-3.0,2.6,100.0,76.0
78,vitry-le-francois,fr,48.73,4.58,9.0,1.5,70.0,0.0
79,marovoay,mg,-16.11,46.64,26.0,1.0,65.0,20.0
81,half moon bay,us,37.46,-122.43,19.0,4.1,55.0,75.0
82,romilly-sur-seine,fr,48.52,3.72,9.0,3.32,76.0,0.0
83,warri,ng,5.52,5.75,24.32,2.52,96.0,0.0
84,devils lake,us,48.11,-98.87,8.0,4.1,48.0,1.0
85,mareeba,au,-16.99,145.42,25.0,3.6,78.0,20.0
86,tiksi,ru,71.64,128.87,-13.48,4.32,82.0,0.0
87,delijan,ir,33.99,50.69,3.67,1.02,82.0,0.0
88,chor,pk,25.52,69.77,21.92,1.22,57.0,0.0
89,claresholm,ca,50.02,-113.58,22.0,5.1,18.0,1.0
90,sumbe,ao,-11.2,13.84,24.45,3.87,99.0,20.0
91,wajir,ke,1.75,40.07,22.75,1.92,89.0,92.0
92,marfino,ru,56.07,37.56,4.0,2.0,93.0,75.0
95,tevaitoa,pf,-16.78,-151.5,26.92,4.42,97.0,80.0
96,hit,iq,33.64,42.83,19.92,3.27,60.0,8.0
97,camapua,br,-19.53,-54.04,26.67,1.92,81.0,36.0
98,kyabram,au,-36.31,145.05,9.52,4.32,70.0,0.0
99,sao miguel do araguaia,br,-13.28,-50.16,28.9,2.52,77.0,8.0
100,maluso,ph,6.54,121.88,24.0,1.0,94.0,20.0
101,el real de santa maria,pa,8.11,-77.73,26.5,2.42,92.0,56.0
102,kankan,gn,10.38,-9.3,24.9,1.22,78.0,8.0
103,agua verde,mx,22.89,-105.97,24.0,1.5,100.0,90.0
104,panaba,mx,21.28,-88.27,32.45,2.12,50.0,12.0
105,north bend,us,43.41,-124.22,12.0,3.6,93.0,90.0
106,klaeng,th,12.78,101.65,26.27,0.87,100.0,48.0
107,tiarei,pf,-17.53,-149.33,29.0,7.2,70.0,75.0
108,pueblo nuevo,mx,23.99,-106.96,27.77,1.37,74.0,64.0
109,barrow,us,39.51,-90.4,18.0,4.1,35.0,1.0
110,wum,cm,6.39,10.08,19.75,1.22,99.0,56.0
112,balkanabat,tm,39.51,54.36,9.17,0.77,77.0,0.0
113,borazjan,ir,29.27,51.21,26.0,2.1,61.0,0.0
114,masallatah,ly,32.62,14.0,15.7,5.57,87.0,88.0
115,petauke,zm,-14.25,31.33,18.0,7.67,62.0,0.0
116,viterbo,it,42.42,12.1,11.55,3.82,86.0,0.0
117,nikolskoye,ru,59.7,30.79,4.0,5.0,93.0,75.0
118,thompson,ca,55.74,-97.86,-1.0,3.1,68.0,75.0
119,sivaki,ru,52.63,126.75,-1.31,2.67,94.0,0.0
120,pitsunda,ge,43.16,40.34,15.0,3.0,82.0,90.0
121,sao gabriel da cachoeira,br,-0.13,-67.09,27.27,0.97,94.0,64.0
123,zavallya,ua,48.21,30.02,9.07,5.47,70.0,92.0
124,zhicheng,cn,35.04,112.59,5.92,0.62,83.0,0.0
125,tacoronte,es,28.48,-16.41,21.0,1.5,93.0,75.0
126,zyryanovsk,kz,49.74,84.27,-9.81,1.37,78.0,0.0
127,barcelona,ph,12.87,124.14,26.7,5.12,97.0,64.0
128,gornopravdinsk,ru,60.06,69.92,3.4,3.42,95.0,92.0
129,novita,co,4.96,-76.61,25.65,1.37,89.0,64.0
131,kem,ru,64.96,34.58,1.27,1.82,100.0,64.0
132,pisco,pe,-13.71,-76.2,20.0,3.1,72.0,90.0
133,shushenskoye,ru,53.33,91.95,-1.0,3.0,63.0,0.0
134,norfolk,us,36.85,-76.29,21.0,3.1,37.0,1.0
135,malanville,bj,11.87,3.39,25.17,3.17,57.0,0.0
136,chippewa falls,us,44.94,-91.39,9.0,2.6,48.0,1.0
137,pocking,de,48.4,13.32,10.0,9.3,81.0,75.0
138,sopot,rs,44.52,20.58,10.0,3.6,87.0,0.0
139,sai buri,th,6.7,101.62,21.27,1.17,97.0,24.0
140,conceicao do araguaia,br,-8.26,-49.26,27.45,2.67,92.0,44.0
141,paracin,rs,43.86,21.41,7.0,1.0,100.0,20.0
142,cravo norte,co,6.3,-70.2,25.65,2.12,98.0,80.0
143,kargasok,ru,59.06,80.87,0.57,2.87,79.0,92.0
144,mezen,ru,65.85,44.24,2.15,2.42,96.0,88.0
145,acapulco,mx,16.86,-99.88,30.0,3.1,74.0,40.0
146,gubskaya,ru,44.32,40.63,9.55,1.12,90.0,76.0
147,kupang,id,-10.16,123.6,24.92,1.32,100.0,0.0
148,ribeira grande,pt,38.52,-28.7,19.95,7.27,100.0,68.0
149,hermanus,za,-34.42,19.24,21.25,0.32,69.0,24.0
150,xingyi,cn,24.19,102.82,14.25,1.37,100.0,88.0
151,camacari,br,-12.7,-38.32,27.0,3.6,78.0,75.0
152,ixtapa,mx,20.71,-105.21,25.0,0.42,100.0,90.0
154,kamina,cd,-8.74,25.0,21.42,3.47,56.0,20.0
155,sao filipe,cv,14.9,-24.5,27.15,5.82,92.0,44.0
156,mabaruma,gy,8.2,-59.78,28.82,2.97,78.0,48.0
157,ushibuka,jp,32.19,130.02,17.25,4.57,100.0,12.0
158,tongchuan,cn,34.9,108.95,5.0,2.0,86.0,20.0
160,usingen,de,50.33,8.54,13.0,5.7,66.0,40.0
161,bumbuna,sl,9.05,-11.73,23.02,1.42,97.0,48.0
162,natchitoches,us,31.76,-93.09,20.0,3.1,60.0,1.0
164,hailey,us,43.52,-114.32,10.0,1.12,87.0,90.0
165,camalu,mx,30.85,-116.07,24.1,3.27,47.0,0.0
166,chimbote,pe,-9.08,-78.59,20.45,3.72,72.0,20.0
167,drayton valley,ca,53.22,-114.98,9.3,1.82,62.0,0.0
168,lewistown,us,40.39,-90.15,14.0,2.6,35.0,1.0
169,nacala,mz,-14.56,40.69,24.92,7.82,87.0,0.0
170,den helder,nl,52.96,4.76,15.0,9.3,82.0,90.0
171,asyut,eg,27.18,31.19,19.82,1.52,52.0,0.0
172,vilhena,br,-12.74,-60.15,29.0,3.1,66.0,40.0
173,socorro,us,31.65,-106.3,19.0,4.1,72.0,90.0
174,ormara,pk,25.21,64.64,25.52,3.02,92.0,0.0
175,ponta delgada,pt,37.73,-25.67,18.0,4.6,88.0,75.0
176,saravena,co,6.96,-71.88,23.05,0.87,92.0,88.0
177,prachuap khiri khan,th,11.81,99.79,23.2,0.87,97.0,56.0
178,ungheni,md,47.2,27.8,14.0,3.6,50.0,0.0
179,rio gallegos,ar,-51.62,-69.22,16.0,2.6,31.0,40.0
180,kolokani,ml,13.58,-8.03,29.27,5.22,33.0,8.0
182,izvoarele sucevei,ro,47.76,25.18,5.6,7.22,65.0,48.0
183,vanimo,pg,-2.67,141.3,28.2,3.42,100.0,32.0
184,chegutu,zw,-18.13,30.15,16.75,6.02,51.0,48.0
185,olden,no,61.84,6.81,2.0,3.6,93.0,75.0
186,mantua,cu,22.29,-84.28,28.4,1.67,73.0,48.0
187,uyemskiy,ru,64.47,40.85,1.0,2.0,100.0,40.0
188,tiznit,ma,29.7,-9.73,18.17,1.62,91.0,0.0
189,shellbrook,ca,53.22,-106.39,13.0,5.7,26.0,5.0
190,tolaga bay,nz,-38.37,178.3,16.15,1.67,86.0,0.0
191,poltavka,ru,54.36,71.76,0.17,4.22,84.0,0.0
193,ust-tsilma,ru,65.44,52.15,-0.66,2.02,96.0,80.0
194,rosarito,mx,27.04,-109.91,34.0,1.5,30.0,75.0
195,colomi,bo,-17.34,-65.87,20.0,5.1,56.0,75.0
196,palmer,us,61.6,-149.11,7.0,6.7,93.0,90.0
197,pitimbu,br,-7.47,-34.81,26.0,4.1,74.0,0.0
198,kalabo,zm,-15.0,22.67,23.45,5.12,30.0,88.0
199,awbari,ly,26.59,12.77,23.3,5.22,29.0,0.0
200,dobryanka,ua,52.06,31.19,4.0,8.0,100.0,90.0
201,morondava,mg,-20.3,44.28,25.2,5.07,62.0,8.0
202,nakamura,jp,35.17,136.87,17.0,4.1,82.0,75.0
203,matadi,cd,-5.83,13.46,24.7,2.52,93.0,92.0
204,loukhi,ru,66.08,33.04,-2.06,1.92,100.0,20.0
205,nagaur,in,27.2,73.74,18.6,1.22,37.0,36.0
206,olkhovka,ru,53.21,60.61,1.8,5.97,91.0,12.0
207,vernon,us,41.84,-72.47,16.0,2.6,51.0,1.0
208,banamba,ml,13.55,-7.45,29.57,4.47,43.0,8.0
210,nanortalik,gl,60.14,-45.24,1.8,2.87,95.0,24.0
211,renkum,nl,51.98,5.73,14.0,3.6,82.0,90.0
212,mbini,gq,1.58,9.62,25.27,2.67,100.0,80.0
213,alihe,cn,50.57,123.73,-5.48,2.17,83.0,0.0
214,ochamchira,ge,42.71,41.47,16.82,1.92,100.0,80.0
215,taoudenni,ml,22.68,-3.98,30.05,5.47,27.0,36.0
216,jhargram,in,22.45,86.99,21.27,3.67,87.0,20.0
217,hofn,is,64.25,-15.21,2.0,3.1,100.0,90.0
218,forbes,au,-33.38,148.01,13.65,3.37,76.0,0.0
219,vilyuysk,ru,63.75,121.63,-7.31,1.57,91.0,68.0
220,bulgan,mn,48.81,103.53,-2.51,1.47,82.0,88.0
221,tommot,ru,58.97,126.27,-5.81,1.32,92.0,92.0
222,opuwo,na,-18.06,13.84,16.6,2.12,94.0,92.0
223,casper,us,42.87,-106.31,17.0,7.7,36.0,40.0
224,maniitsoq,gl,65.42,-52.9,-10.66,4.32,100.0,0.0
225,steamboat springs,us,40.48,-106.83,18.0,1.5,44.0,1.0
227,amlame,tg,7.47,0.9,25.2,2.32,91.0,32.0
228,mwinilunga,zm,-11.73,24.43,19.67,2.22,55.0,76.0
229,arona,es,28.1,-16.68,21.0,2.1,77.0,20.0
230,gravelbourg,ca,49.88,-106.56,15.17,6.02,32.0,0.0
231,gimli,ca,50.63,-96.99,4.05,2.02,87.0,0.0
233,roxas,ph,10.32,119.34,27.57,5.47,100.0,64.0
234,waldoboro,us,44.1,-69.38,11.0,5.1,62.0,75.0
235,nuevo casas grandes,mx,30.42,-107.91,19.55,1.92,76.0,36.0
236,lebu,cl,-37.62,-73.65,11.57,1.42,100.0,92.0
237,sao jose da coroa grande,br,-8.9,-35.15,25.2,3.67,82.0,12.0
238,waingapu,id,-9.65,120.26,22.7,1.62,100.0,68.0
239,russkaya polyana,ru,53.78,73.88,-0.46,5.82,80.0,0.0
240,kambia,sl,9.13,-12.92,27.57,3.72,91.0,8.0
241,los llanos de aridane,es,28.66,-17.92,21.0,2.6,77.0,88.0
242,tasiilaq,gl,65.61,-37.64,-2.0,3.1,42.0,80.0
243,grand forks,us,47.91,-97.06,7.0,2.02,48.0,1.0
244,maldonado,uy,-34.91,-54.96,13.0,5.1,62.0,40.0
